code,phrase,employee classification rate
6315(2),"GAS MAINS OR CONNECTIONS CONSTRUCTION including tunneling at street crossings employees whose regular hourly wage does not equal or exceed $34.00 per hour",$4.18
6316(2),"GAS MAINS OR CONNECTIONS CONSTRUCTION including tunneling at street crossings employees whose regular hourly wage equals or exceeds $34.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6315(2), Gas Mains or Connections Construction.",$3.70
4983,"GASKET MFG.",$2.74
7500,"GAS WORKS all operations including construction or extension of lines",$2.77
8324,"GASOLINE STATIONS retail all employees including cashiers",$3.07
3401(2),"GATE OR CORRAL MFG. tube or pipe stock",$4.10
8350,"GASOLINE OR OIL DEALERS wholesale including mixing or blending",$4.38
3146(2),"HEAT TREATING metal",$2.45
4111(1),"GLASSWARE MFG. no automatic or semi-automatic machines",$2.38
4130,"GLASS MERCHANTS including bending, grinding, beveling or silvering plate glass including counterpersons",$5.90
5467,"GLAZIERS away from shop employees whose regular hourly wage does not equal or exceed $33.00 per hour",$7.62
4114,"GLASSWARE MFG. N.O.C.",$2.58
3574(2),"GOLF CLUB OR FISHING ROD MFG., REPAIR OR ASSEMBLY",$3.16
5470,"GLAZIERS away from shop employees whose regular hourly wage equals or exceeds $33.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $33.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $33.00 per hour shall be classified as 5467, Glaziers.",$3.10
6220(2),"GRADING LAND N.O.C. including borrowing, filling or backfilling employees whose regular hourly wage equals or exceeds $34.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6218(2), Grading Land.",$2.93
6218(2),"GRADING LAND N.O.C. including borrowing, filling or backfilling employees whose regular hourly wage does not equal or exceed $34.00 per hour",$5.10
2014(1),"GRAIN OR RICE MILLING",$4.34
8304,"GRAIN ELEVATORS OR STORAGE WAREHOUSES no cleaning, sacking or packaging",$6.60
3146(1),"HARDWARE MFG. N.O.C.",$2.45
4297(2),"GRAPHIC DESIGN all operations including Clerical Office Employees and Clerical Telecommuter Employees",$0.20
2501(2),"HAT MFG.",$5.00
5436,"HARDWOOD FLOOR LAYING including finishing",$3.97
9053(2),"HEALTH CLUBS OR GYMS including restaurant employees, retail store employees and receptionists",$1.51
8215(1),"HAY, GRAIN OR FEED DEALERS",$7.55
5542(2),"HEATING OR AIR CONDITIONING DUCTWORK installation or repair including shop, yard or storage operations including installation of furnaces or air conditioning equipment employees whose regular hourly wage equals or exceeds $27.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $27.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $27.00 per hour shall be classified as 5538(2), Heating or Air Conditioning Ductwork.",$2.52
5183(3),"HEATING OR AIR CONDITIONING EQUIPMENT installation, service or repair including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $28.00 per hour N.O.C.",$5.31
5538(2),"HEATING OR AIR CONDITIONING DUCTWORK installation or repair including shop, yard or storage operations including installation of furnaces or air conditioning equipment employees whose regular hourly wage does not equal or exceed $27.00 per hour N.O.C.",$5.07
8720(1),"INSPECTION FOR INSURANCE, SAFETY OR VALUATION PURPOSES N.O.C. including Outside Salespersons",$1.42
8827(1),"HOME CARE SERVICES all employees",$3.00
5187(3),"HEATING OR AIR CONDITIONING EQUIPMENT installation, service or repair including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $28.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5183(3), Heating or Air Conditioning Equipment.",$2.36
9066,"HOMEOWNERS ASSOCIATIONS AND HOUSING COOPERATIVES N.O.C.",$2.71
8852,"HOME INFUSION THERAPISTS all employees. Classification 8852 shall not be used for division of payroll in connection with Classifications 8827(1), Home Care Services, or 8827(2), Nursing Care, unless the operation described by Classification 8852 constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 8827(1) or 8827(2).",$1.61
7207(3),"HORSE SHOWS OR RODEOS stable employees",$7.55
9016(3),"HORSE SHOWS OR RODEOS all employees other than stable employees and employees engaged in the operation or maintenance of amusement devices, restaurants or retail stores",$2.89
8831(1),"HOSPITALS veterinary all employees including receptionists",$1.53
9043,"HOSPITALS all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$1.25
9521(1),"HOUSE FURNISHINGS installation including upholstering N.O.C.",$4.63
9050,"HOTELS, MOTELS OR SHORT-TERM RESIDENTIAL HOUSING. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$6.06
9033,"HOUSING AUTHORITIES including resident or on-site managers. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$3.66
9519(1),"HOUSEHOLD APPLIANCES installation, service or repair shop or outside",$5.75
2150,"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2020. ICE MFG. OR ICE DEALERS",$4.89
8078(3),"ICE CREAM OR FROZEN YOGURT SHOPS",$1.29
4557,"INK, ADHESIVE, POLISH OR WAX PRODUCTS MFG.",$2.96
4111(2),"INCANDESCENT LAMP AND FLUORESCENT TUBE MFG.",$2.38
8830,"INSTITUTIONAL EMPLOYEES hospitals, skilled nursing facilities, residential care facilities for adults or residential care facilities for the aged all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons not jail or prison employees. The payroll for student nurses or interns shall be included at an average wage of at least $100 per week.",$1.25
3682,"INSTRUMENT MFG. non-electronic scientific or medical N.O.C.",$1.19
3681(1),"INSTRUMENT MFG. electronic professional or scientific N.O.C.",$0.68
6361(3),"JETTY OR BREAKWATER CONSTRUCTION all operations to completion",$3.38
5479,"INSULATION WORK installation or application of acoustical or thermal insulating materials in buildings or within building walls N.O.C.",$5.36
5128,"INSTRUMENT INSTALLATION, SERVICE OR REPAIR medical, professional or scientific away from shop not office machines",$1.28
4112,"INTEGRATED CIRCUIT AND SEMICONDUCTOR WAFER MFG.",$0.39
8822,"INSURANCE COMPANIES all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.49
8859(2),"INTERNET OR WEB-BASED APPLICATION DEVELOPMENT OR OPERATION including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.04
5129,"INTEGRATED CIRCUIT OR SEMICONDUCTOR PROCESSING EQUIPMENT INSTALLATION, SERVICE OR REPAIR away from shop",$0.47
5057,"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. IRON OR STEEL ERECTION N.O.C.",$4.66
5059,"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. IRON OR STEEL ERECTION structural in the construction of buildings not over two stories in height",$9.17
8106,"METAL STOCK DEALERS ferrous or nonferrous not metal scrap dealers",$5.01
5040,"IRON OR STEEL ERECTION structural",$8.73
3030,"IRON OR STEEL WORKS structural shop fabricating or assembling girders, beams, columns, trusses, stringers or other structural iron or steel",$6.67
3040,"IRON OR STEEL WORKS non-structural shop fabricating, assembling or manufacturing ornamental brass, bronze or iron work; railings; balconies; fire escapes; staircases; iron shutters or other non-structural iron or steel work",$6.13
6364,"IRRIGATION PIPE INSTALLATION agricultural all operations",$4.67
5102,"IRON, STEEL, BRASS, BRONZE OR ALUMINUM ERECTION non-structural",$5.48
9008,"JANITORIAL SERVICES by contractors",$7.84
0251,"IRRIGATION, DRAINAGE OR RECLAMATION WORKS OPERATION all work incidental to maintenance and operation of irrigation, drainage or reclamation districts",$4.29
3383(1),"JEWELRY MFG. including foundry operations",$3.07
2362,"KNITTING N.O.C.",$13.86
8831(3),"KENNELS boarding, grooming and care of domestic animals all employees including receptionists",$1.53
8017(8),"LINEN RENTAL OR RESTROOM SUPPLY SERVICES no laundry operations",$2.49
2501(5),"LAMPSHADE MFG. not metal or glass",$5.00
8755,"LABOR UNIONS employees engaged outside of office including Outside Salespersons",$0.75
6218(3),"LAND LEVELING grading farm lands employees whose regular hourly wage does not equal or exceed $34.00 per hour",$5.10
6220(3),"LAND LEVELING grading farm lands employees whose regular hourly wage equals or exceeds $34.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6218(3), Land Leveling.",$2.93
5443,"LATHING",$5.01
0042,"LANDSCAPE GARDENING including maintenance of gardens",$4.57
8821,"LAW FIRM SUPPORT SERVICES including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.89
2585(1),"LAUNDRIES N.O.C. all employees including cash and carry departments on the premises",$6.45
3647(2),"LEAD MFG., RECLAIMING OR ALLOYING including litharge and lead oxide manufacturing",$4.94
8820,"LAW FIRMS all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.34
4150(2),"LENS MFG. ground and polished lenses",$2.46
2688,"LEATHER GOODS MFG. N.O.C.",$5.04
8811,"LIBRARIES private librarians or professional assistants including Clerical Office Employees and Clerical Telecommuter Employees",$0.21
9015(5),"LIBRARIES private all employees other than librarians, professional assistants, Clerical Office Employees or Clerical Telecommuter Employees",$4.53
3180,"LIGHT FIXTURE OR LAMP MFG. OR ASSEMBLY metal electric",$5.04
8812,"LIBRARIES public librarians or professional assistants including Clerical Office Employees and Clerical Telecommuter Employees",$0.21
8286,"LIVESTOCK DEALERS OR AUCTION YARDS not operating livestock feed yards, farms, ranches or sales stables including Outside Salespersons or Appraisers",$6.29
2710(2),"LOG CHIPPING",$5.50
0038(2),"LIVESTOCK FEED YARDS including the milling or blending of feed for use in operations",$7.51
8800,"MAILING OR ADDRESSING COMPANIES including Clerical Office Employees and Clerical Telecommuter Employees",$2.92
2702(1),"LOGGING all kinds including construction, operation, maintenance or extension of logging roads",$15.83
2727,"LOG HAULING including terminal, garage and repair employees",$10.26
2002,"MACARONI MFG.",$7.00
8232(1),"LUMBERYARDS commercial including counterpersons",$5.34
3632,"MACHINE SHOPS N.O.C.",$2.48
3574(1),"MACHINE MFG. office or sewing N.O.C.",$3.16
8107,"MACHINERY AND EQUIPMENT DEALERS N.O.C.",$2.02
3831,"MACHINE SHOPS aircraft components",$2.58
3560(1),"MACHINERY MFG. commercial food processing equipment",$2.69
3507,"MACHINERY OR EQUIPMENT MFG. agricultural, construction, mining or ore milling",$3.95
3560(3),"MACHINERY MFG. material handling equipment",$2.69
3560(2),"MACHINERY MFG. industrial N.O.C.",$2.69
3501(1),"MACHINERY MFG. portable tools",$5.48
3501(2),"MACHINERY MFG. swimming pool or spa",$5.48
7232,"MAIL DELIVERY SERVICE COMPANIES firms operating under contract to the United States Postal Service all employees",$8.26
8267,"MACHINERY AND EQUIPMENT DEALERS secondhand including incidental reconditioning or repairing",$6.75
7248,"MARINE APPRAISERS OR SURVEYORS",$1.42
5027,"MASONRY employees whose regular hourly wage does not equal or exceed $28.00 per hour N.O.C.",$8.18
5028,"MASONRY employees whose regular hourly wage equals or exceeds $28.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5027, Masonry.",$4.21
2095,"MEAT PRODUCTS MFG.",$5.90
2570,"MATTRESS OR BOX SPRINGS MFG. including pillow, quilt, comforter or cushion manufacturing",$9.18
3400,"METAL GOODS MFG. N.O.C.",$6.30
3572,"MEDICAL INSTRUMENT MFG. electronic diagnostic or treatment",$0.85
3724(1),"MILLWRIGHT WORK N.O.C. erection or repair of machinery or equipment at customers' locations",$3.75
8500,"METAL SCRAP DEALERS ferrous or nonferrous",$5.61
1122,"MINING surface no shafts, tunnels, or drifts all employees",$2.27
1452,"MINING ore milling including sample analysis, crushing, concentration and separation",$2.47
1123,"MINING underground with shafts, tunnels or drifts; all employees with exposure to ground mining operations",$13.41
1124,"MINING underground surface employees",$3.74
8740(4),"MOBILE HOME PARK OPERATION property management supervisors not resident managers or supervisors",$0.74
7219(3),"MOBILE CRANE AND HOISTING SERVICE CONTRACTORS N.O.C. all operations including yard employees",$6.38
9010,"MOBILE HOME PARK OPERATION all other employees including, resident employees and resident Clerical Office Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$4.16
2797(1),"MOBILE, MODULAR OR MANUFACTURED HOME OR BUILDING MFG. shop or yard work only",$7.21
8743,"MORTGAGE BROKERS no direct lending all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.16
8749,"MORTGAGE BANKERS all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.21
9610,"MOTION PICTURES production in studios and outside all employees. The entire remuneration of actors, musicians, producers and the motion picture director shall be included subject to a maximum of $144,300 per year per person. When such employees do not work the entire year, the payroll limitation shall be prorated based upon the number of weeks in which such employees worked during the policy period.",$1.36
8400,"MOTORCYCLE DEALERS OR REPAIR FACILITIES all operations including accessory or spare parts sales and Outside Salespersons",$1.92
4362,"MOTION PICTURES negative and print processors, distributors and film exchanges not motion picture production companies",$1.83
4740(1),"OIL REFINING petroleum",$0.99
9420,"MUNICIPAL, STATE OR OTHER PUBLIC AGENCY EMPLOYEES all other employees including laborers, mechanics and storekeepers N.O.C.",$8.22
9410,"MUNICIPAL, STATE OR OTHER PUBLIC AGENCY EMPLOYEES not engaged in manual labor, or direct supervision of construction or erection work N.O.C.",$1.01
2923,"MUSICAL INSTRUMENT MFG. other than metal N.O.C.",$3.26
8838,"MUSEUMS all employees other than those engaged in the operation of restaurants or retail stores including Clerical Office Employees and Clerical Telecommuter Employees",$1.09
8745,"NEWS AGENTS OR DISTRIBUTORS OF MAGAZINES OR OTHER PERIODICALS not retail dealers including Outside Salespersons",$6.06
3152(1),"NAIL, TACK OR RIVET MFG. cold or hot work",$2.83
4304,"NEWSPAPER PUBLISHING OR PRINTING all other employees including drivers and their helpers",$7.42
4312,"NEWSPAPER DELIVERY",$4.87
8818,"NEWSPAPER PUBLISHING OR PRINTING editing, designing, proofreading and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$0.66
8746,"NEWSPAPER PUBLISHING OR PRINTING reporters or photographers including Outside Salespersons",$0.33
0005,"NURSERIES propagation and cultivation of nursery stock",$4.28
8807,"NEWSPAPER, MAGAZINE OR BOOK PUBLISHING no printing or distribution editing, designing, proofreading, and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$0.28
0096,"NUT HULLING, SHELLING OR PROCESSING",$4.51
8827(2),"NURSING CARE in private residences all employees",$3.00
5191,"OFFICE MACHINE OR POINT OF SALE EQUIPMENT INSTALLATION, SERVICE OR REPAIR N.O.C. shop or outside",$1.90
3152(2),"NUT, BOLT OR SCREW MFG. cold or hot work",$2.83
8601(2),"OIL OR GAS GEOLOGISTS OR SCOUTS including mapping of subsurface areas including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.29
6216,"OIL OR GAS LEASE WORK N.O.C. not lease operators",$2.64
1320,"OIL OR GAS LEASE OPERATORS all operations",$1.52
0016,"ORCHARDS citrus or deciduous fruits",$6.02
7515,"OIL OR GAS PIPELINE OPERATION",$1.00
6233,"OIL OR GAS PIPELINE CONSTRUCTION all operations",$1.75
1322,"OIL OR GAS WELL SERVICING N.O.C. by contractors using well service or work-over rigs no drilling or redrilling including Outside Salespersons",$4.36
3719,"OIL OR GAS REFINERIES erection or repair all operations",$1.73
6206(2),"OIL OR GAS WELLS acidizing or hydraulic fracturing all operations",$3.02
8111(2),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2020. OIL OR GAS WELL SUPPLIES OR EQUIPMENT DEALERS store or yard only",$2.85
6206(1),"OIL OR GAS WELLS cementing",$3.02
6235(2),"OIL OR GAS WELLS installation or recovery of casing",$3.36
6206(4),"OIL OR GAS WELLS gravel packing",$3.02
6235(1),"OIL OR GAS WELLS drilling or redrilling including installation of casing",$3.36
6213,"OIL OR GAS WELLS specialty tool companies N.O.C. all employees including shop, yard or storage operations and outside supervisors",$1.51
6237(2),"OIL OR GAS WELLS perforating of casing all operations",$1.88
6237(1),"OIL OR GAS WELLS wireline service companies including instrument logging or survey work in wells",$1.88
6206(3),"OIL OR GAS WELLS vacuum truck service companies all operations",$3.02
4150(1),"OPTICAL GOODS MFG. N.O.C.",$2.46
2111(2),"OLIVE HANDLING sorting, curing and canning",$3.74
0045,"ORCHARDS nut crops",$3.79
4635,"OXYGEN OR HYDROGEN MFG. including tank charging",$2.24
4691,"ORTHOTIC OR PROSTHETIC DEVICE MFG. including fitting and adjusting",$1.24
4432,"PEN OR MECHANICAL PENCIL MFG.",$3.15
4558(1),"PAINT, VARNISH OR LACQUER MFG.",$2.76
7207(4),"PACK TRAINS all employees",$7.55
9501(1),"PAINTING shop only N.O.C.",$4.11
9501(3),"PAINTING automobile or truck bodies including incidental sanding no body repairing including estimators, service writers and customer service representatives who inspect vehicles",$4.11
5474(1),"PAINTING OR WALLPAPER INSTALLATION including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $28.00 per hour N.O.C.",$8.09
5482(1),"PAINTING OR WALLPAPER INSTALLATION including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $28.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5474(1), Painting or Wallpaper Installation.",$4.34
5482(3),"PAINTING water, oil or gasoline storage tanks including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $28.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5474(3), Painting.",$4.34
5040(3),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. PAINTING steel structures or bridges",$8.73
2757(2),"PALLET DEALERS secondhand",$7.12
5474(3),"PAINTING water, oil or gasoline storage tanks including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $28.00 per hour",$8.09
4250(1),"PAPER COATING OR LAMINATING",$3.76
2757(1),"PALLET MFG., REPAIR OR RECONDITIONING wood",$7.12
4239(1),"PAPER OR CARDBOARD STOCK MFG.",$2.65
4279(1),"PAPER GOODS MFG. N.O.C.",$4.77
2790,"PATTERN OR MODEL MFG.",$1.65
7198(1),"PARCEL DELIVERY AND MESSENGER SERVICE COMPANIES including terminal employees and mechanics no handling of bulk merchandise or freight",$7.63
9031,"PEST OR NUISANCE WILDLIFE CONTROL including yard employees, Outside Salespersons and estimators",$4.04
4361(2),"PHOTOFINISHING all employees including receptionists",$1.58
4351,"PHOTO ENGRAVING",$2.50
4496,"PLASTICS fabricated products mfg. no molding N.O.C.",$5.22
8834,"PHYSICIANS' PRACTICES AND OUTPATIENT CLINICS all employees including Clerical Office Employees and Clerical Telecommuter Employees",$0.63
4361(1),"PHOTOGRAPHERS all employees including receptionists N.O.C.",$1.58
2840(2),"PICTURE OR ARTWORK FRAMING including frame assembly",$3.35
2840(1),"PICTURE FRAME ASSEMBLY",$3.35
2571,"PILLOW, QUILT, COMFORTER OR CUSHION MFG. no mattress or box spring manufacturing",$7.57
6003(1),"PILE DRIVING",$11.15
2731,"PLANING OR MOULDING MILLS",$4.61
3022,"PIPE, TUBE OR EXTRUSION MFG. metal not iron or steel",$4.40
1741(2),"PLASTER MILLS",$3.21
4036,"PLASTER BOARD MFG.",$4.19
5485,"PLASTERING OR STUCCO WORK employees whose regular hourly wage equals or exceeds $32.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $32.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $32.00 per hour shall be classified as 5484, Plastering or Stucco Work.",$6.25
4038(1),"PLASTER OR CONCRETE STATUARY OR ORNAMENT MFG. shop or yard work only",$5.57
4478,"PLASTIC GOODS MFG. N.O.C.",$4.69
5484,"PLASTERING OR STUCCO WORK employees whose regular hourly wage does not equal or exceed $32.00 per hour",$9.98
4495,"PLASTICS extrusion molded products mfg. N.O.C.",$3.13
4494,"PLASTICS blow molded products mfg. N.O.C.",$5.24
4497,"PLASTICS fiber reinforced plastic products mfg. N.O.C.",$3.74
4499,"PLASTICS thermoformed products mfg. N.O.C.",$5.49
4498,"PLASTICS injection molded products mfg. N.O.C.",$3.71
8846(1),"PRINTING OPERATION screen printing editing, designing, proofreading and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$1.24
8111(1),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2020. PLUMBERS' SUPPLIES DEALERS wholesale or retail gas, steam or hot water equipment no manufacturing",$2.85
3620(2),"PLATE STEEL PRODUCTS FABRICATION N.O.C.",$5.74
5183(1),"PLUMBING including shop, yard or storage operations gas, steam, hot water or other pipe fittings installation, including house connections installation employees whose regular hourly wage does not equal or exceed $28.00 per hour N.O.C.",$5.31
5187(1),"PLUMBING including shop, yard or storage operations gas, steam, hot water or other pipe fittings installation, including house connections installation employees whose regular hourly wage equals or exceeds $28.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5183(1), Plumbing.",$2.36
7722,"POLICE, SHERIFFS, MARSHALS, ANIMAL CONTROL OFFICERS, FISH AND WILDLIFE OFFICERS AND CORRECTIONAL OFFICERS volunteers, serving with or without remuneration",$103.50
7720,"POLICE, SHERIFFS, MARSHALS, ANIMAL CONTROL OFFICERS, FISH AND WILDLIFE OFFICERS AND CORRECTIONAL OFFICERS including deputies not volunteers",$2.62
4049,"POTTERY PRODUCTS MFG. for decorative or architectural purposes",$3.14
0041,"POTATO CROPS",$4.35
3573,"POWER SUPPLY MFG.",$1.16
0034(1),"POULTRY RAISING, EGG PRODUCTION AND HATCHERIES",$5.50
4354,"PRINTED CIRCUIT BOARD MFG.",$2.19
3577,"PRINTED CIRCUIT BOARD ASSEMBLING by contractor",$1.21
8813(1),"PRINTING OPERATION editing, designing, proofreading, and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$0.50
4299(1),"PRINTING OPERATION all other employees including counterpersons and drivers and their helpers N.O.C.",$4.17
4295(1),"PRINTING OPERATION screen printing all other employees",$5.86
8019(1),"PRINTING quick printing all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$1.64
8017(9),"PRODUCT DEMONSTRATORS OR SAMPLE DISTRIBUTORS by contractors in stores",$2.49
8875(1),"PUBLIC COLLEGES OR SCHOOLS all employees including cafeteria, Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.73
5130(1),"PROGRAMMABLE INDUSTRIAL CONTROLS INSTALLATION, SERVICE OR REPAIR including shop, yard or storage operations",$0.99
4665,"RENDERING OR FERTILIZER MFG.",$6.41
1624(1),"QUARRIES including all employees engaged in installation of machinery and construction, repair and maintenance of all buildings, structures or equipment",$3.30
3612,"PUMP OR HYDRAULIC APPARATUS MFG. OR REPAIR N.O.C.",$2.67
7207(5),"RACING STABLES harness racing all other employees",$7.55
8631,"RACING STABLES all other employees N.O.C.",$4.69
7610,"RADIO, TELEVISION OR COMMERCIAL BROADCASTING STATIONS all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of on-air personalities, entertainers and musicians shall be included subject to a maximum of $144,300 per year per person. When such employees do not work the entire year, the payroll limitation shall be prorated based upon the number of weeks in which such employees worked during the policy period.",$0.53
8278,"RACING STABLES jockeys or harness racing drivers",$174.81
7133,"RAILROAD OPERATION N.O.C. all employees",$2.29
7855,"RAILROAD CONSTRUCTION all operations",$2.91
2797(3),"RECREATIONAL VEHICLE MFG.",$7.21
8741,"REAL ESTATE AGENCIES all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.10
5187(2),"REFRIGERATION EQUIPMENT not household units installation, service or repair including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $28.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5183(2), Refrigeration Equipment.",$2.36
9424(2),"RECYCLED MATERIAL DEALERS N.O.C.",$5.35
3165(2),"REFRIGERATOR MFG. metal",$3.43
5183(2),"REFRIGERATION EQUIPMENT not household units installation, service or repair including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $28.00 per hour N.O.C.",$5.31
5225,"REINFORCING STEEL INSTALLATION placing for concrete construction",$4.86
3039,"REINFORCING STEEL FABRICATION at permanent shop or yard location",$5.63
9070(3),"RESIDENTIAL CARE FACILITIES FOR ADULTS including supervisors and receptionists N.O.C. Classification 9070(3) shall not be used for division of payroll in connection with Classifications 8804(1), Substance Use Disorder Recovery Homes, or 8804(2), Social Rehabilitation Facilities for Adults, unless the operation described by Classification 9070(3) constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 8804(1) or 8804(2).",$4.44
8823,"RESIDENTIAL CARE FACILITIES FOR CHILDREN N.O.C.",$3.13
9085,"RESIDENTIAL CARE FACILITIES FOR THE DEVELOPMENTALLY DISABLED including supervisors and receptionists",$2.93
9426,"SEPTIC OR PORTABLE TOILET SERVICES cleaning of septic tanks, cesspools or portable toilets all employees",$5.22
9096,"RESIDENTIAL CLEANING SERVICES by contractors",$9.91
9070(1),"RESIDENTIAL CARE FACILITIES FOR THE ELDERLY including supervisors and receptionists N.O.C. Classification 9070(1) shall not be used for division of payroll in connection with Classifications 8804(1), Substance Use Disorder Recovery Homes, or 8804(2), Social Rehabilitation Facilities for Adults, unless the operation described by Classification 9070(1) constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 8804(1) or 8804(2).",$4.44
9079(1),"RESTAURANTS OR TAVERNS all employees including musicians and entertainers",$2.56
4558(2),"RESIN MFG. synthetic",$2.76
1699,"ROCK, MINERAL OR GLASS WOOL MFG.",$1.52
9422,"ROAD DISTRICTS OR DEPARTMENTS all operations including shop or yard employees",$1.68
5553,"ROOFING all kinds including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $27.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $27.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $27.00 per hour shall be classified as 5552, Roofing.",$8.14
4771(2),"ROCKET PROPELLANT MFG. solid propellant",$1.29
4410,"RUBBER GOODS MFG. N.O.C.",$5.84
5552,"ROOFING all kinds including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $27.00 per hour",$21.05
4420,"RUBBER TIRE RECAPPING OR RETREADING",$8.02
